,run_id,step,n_samples,jitter,factor,k,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,0,600,0.2,0.7000000000000001,2,0.2,4,1.2974851208764082,0.0024523752875060096,-0.0011987330646602442,0.014461601838413206,-0.0011746160172761376,-0.0018429118146958852
1,0,1,600,0.2,0.7000000000000001,2,0.2,4,1.2996884035886065,-0.0011684695099679846,-0.0011347992875359275,0.03495771684037228,-0.0010061061062876437,-0.001805754909988997
2,0,2,600,0.2,0.7000000000000001,2,0.2,4,1.298184361041262,-0.0018350155585259746,-0.0011345259821810697,0.018889899207081968,-0.0011351335421496158,-0.002214013988998068
3,0,3,600,0.2,0.7000000000000001,2,0.2,4,1.2965408696343932,-0.000552961056995042,-0.0011989237487409303,0.010988427365501355,-0.0010783284990600055,-0.0016999836931177125
4,0,4,600,0.2,0.7000000000000001,2,0.2,4,1.2957027564250336,-0.0010083438261472113,-0.0010784227392840301,0.008614389661079249,-0.0009178413270034754,-0.0023125790903728246
5,0,5,600,0.2,0.7000000000000001,2,0.2,4,1.2954790876575204,-0.0005557817866463843,-0.0011989237487409303,0.013705227602577598,-0.0011992672024531959,-0.0011876536429066048
6,0,6,600,0.2,0.7000000000000001,2,0.2,4,1.298401228118171,-0.002756753048970682,-0.001174774497639552,0.040069431862089826,-0.001199496330590921,-0.0018161456643270848
7,0,7,600,0.2,0.7000000000000001,2,0.2,4,1.2967468076846886,-0.0006927875684862017,-0.0010060912894739558,0.010886272629296721,-0.0005565765545071097,-0.0016508597926031255
8,0,8,600,0.2,0.7000000000000001,2,0.2,4,1.297239104313139,-0.0011347992875359275,-0.0011746160172761376,0.01705469195663901,-0.0006927875684862017,-0.0017618420161252908
9,0,9,600,0.2,0.7000000000000001,2,0.2,4,1.296246750979592,-0.0014439471705650813,-0.0011987330646602442,0.03594151593459599,-0.001079070887387202,-0.0017611231472712062
10,0,0,1000,0.04,0.2,2,0.2,4,1.2856759014713621,0.0222344730730678,-0.0005814653175038468,0.0,-0.0006508451017581901,-0.0014210388997641507
11,0,1,1000,0.04,0.2,2,0.2,4,1.2860522309626972,0.009465315902781775,-0.0007200755817327488,0.0,-0.0007202410601599332,-0.0012994939287415898
12,0,2,1000,0.04,0.2,2,0.2,4,1.2853292659146756,0.0071502889409096,-0.0007200921245849902,0.0,-0.0006970108149748116,-0.0010968276509801696
13,0,3,1000,0.04,0.2,2,0.2,4,1.2856751329405685,0.01670706714503597,-0.0007200673107176456,0.0,-0.000711407766553342,-0.0014121276289914744
14,0,4,1000,0.04,0.2,2,0.2,4,1.286129661279561,0.022682040175501482,-0.000711407766553342,0.0,-0.000720116940950555,-0.0012599491220556128
15,0,5,1000,0.04,0.2,2,0.2,4,1.2857868875875051,0.01623810756319237,-0.0007229915424194918,0.0,-0.000711419607399317,-0.0013776737235271007
16,0,6,1000,0.04,0.2,2,0.2,4,1.2854738071656988,0.01315731648877201,-0.0006969744872221769,0.0,-0.0006767664139716095,-0.0010980601609580638
17,0,7,1000,0.04,0.2,2,0.2,4,1.2856219106958886,0.017362724093802892,-0.0007200921245849902,0.0,-0.000711407766553342,-0.0013541971714065174
18,0,8,1000,0.04,0.2,2,0.2,4,1.2854263552720573,0.018738820864889143,-0.0007114038197278934,0.0,-0.0007201169409505561,-0.0014147429276929195
19,0,9,1000,0.04,0.2,2,0.2,4,1.2860355978028164,0.010369494332509853,-0.000711407766553342,0.0,-0.0007201914049937411,-0.0013767403832217343
20,0,0,100,0.18,0.6000000000000001,2,0.2,4,1.2823180778768264,-0.007418888696572501,-0.006214703265368225,-0.021143393470396322,-0.006214703265368225,-0.008891087607034947
21,0,1,100,0.18,0.6000000000000001,2,0.2,4,1.2832723996660695,0.0006338160899179975,-0.00708797400729681,0.0010313597826638466,-0.007087974007296807,-0.013784044033724917
22,0,2,100,0.18,0.6000000000000001,2,0.2,4,1.263133633195701,-0.004670987196105786,-0.007377684541408572,-0.03450462904796715,-0.007095800605805886,-0.010638858016324413
23,0,3,100,0.18,0.6000000000000001,2,0.2,4,1.2855644288860726,-0.011218841011477444,-0.00708797400729681,-0.02846880321256945,-0.006214703265368225,-0.01383469279444186
24,0,4,100,0.18,0.6000000000000001,2,0.2,4,1.283796009431832,-0.007382228726154098,-0.006214703265368225,0.040999458529596,-0.007095800605805886,-0.005059156978446192
25,0,5,100,0.18,0.6000000000000001,2,0.2,4,1.2736894561355596,-0.007095800605805893,-0.006214703265368225,-0.02948573269459612,-0.00708797400729681,-0.012374354107631495
26,0,6,100,0.18,0.6000000000000001,2,0.2,4,1.2795056423305697,-0.006285977982105817,-0.0073822287261541,-0.023635530447611106,-0.007095800605805886,-0.008843340666605155
27,0,7,100,0.18,0.6000000000000001,2,0.2,4,1.2664773034820473,-0.00731683526994852,-0.00621670316890314,-0.019966329601550026,-0.00621670316890314,-0.014286408361273456
28,0,8,100,0.18,0.6000000000000001,2,0.2,4,1.282408279296295,-0.00713530443406208,-0.007395912080912858,-0.022142680672845753,-0.00713530443406208,-0.014319336260969314
29,0,9,100,0.18,0.6000000000000001,2,0.2,4,1.2804085189352257,-0.004752459620317542,-0.00708797400729681,-0.0010369147703714636,-0.002716355657023765,-0.011198274373658751
30,0,0,1200,0.01,0.9,2,0.2,4,1.2853349759517247,0.17324617596845596,-0.0005841938397496573,1.0,-0.0006002383650570151,-0.0011966619182549444
31,0,1,1200,0.01,0.9,2,0.2,4,1.285430818941395,0.17403242175223582,-0.0006022597614515823,1.0,-0.0006002383650570151,-0.001177512177604858
