,run_id,step,n_samples,n_centers,n_features,k,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,0,600,8,20,8,0.2,40,5.825779587395727,0.48048619933105563,1.0,0.0,1.0,0.0
1,0,1,600,8,20,8,0.2,40,6.020399835819169,1.0,1.0,0.0,1.0,0.0
2,0,2,600,8,20,8,0.2,40,5.876399851799216,0.0,1.0,0.0,1.0,0.0
3,0,3,600,8,20,8,0.2,40,5.9241179431702236,0.48048619933105563,1.0,0.0,1.0,0.0
4,0,4,600,8,20,8,0.2,40,5.932517947492019,0.4978710059872126,1.0,0.0,1.0,0.0
5,0,5,600,8,20,8,0.2,40,6.046422712901755,0.0,1.0,0.0,1.0,0.0
6,0,6,600,8,20,8,0.2,40,6.039325331087908,0.4978710059872126,1.0,0.0,1.0,0.0
7,0,7,600,8,20,8,0.2,40,5.925392313035695,0.0,1.0,0.0,1.0,0.0
8,0,8,600,8,20,8,0.2,40,6.052339165611,0.48048619933105563,1.0,0.0,1.0,0.0
9,0,9,600,8,20,8,0.2,40,5.981268506324261,0.48048619933105563,1.0,0.0,1.0,0.0
10,0,0,1000,3,4,3,0.2,8,1.7385303503505276,0.724835096361154,0.9086871413657616,0.29034191922347724,0.8849371940619892,0.7060996095866161
11,0,1,1000,3,4,3,0.2,8,1.7304231325773345,0.9764387869877069,0.9403848228750561,0.30966806859510027,0.9347636640172657,0.9437248522634811
12,0,2,1000,3,4,3,0.2,8,1.9402998560670444,0.624073558846187,0.6781688091704818,0.06703707108808944,0.3120365526482724,0.5014745523660292
13,0,3,1000,3,4,3,0.2,8,1.7801026324369602,0.973212006050697,0.9182485716716601,0.2771269363610551,0.9277977577946555,0.9186990603488762
14,0,4,1000,3,4,3,0.2,8,1.6924375535455392,0.9383614815293695,0.8640592168341532,0.3801730110752946,0.8769336139305336,0.9189094651482467
15,0,5,1000,3,4,3,0.2,8,1.6986972239744595,0.9937902427485361,0.9488768945035176,0.4222971839818888,0.9700868316469338,0.9488768945035176
16,0,6,1000,3,4,3,0.2,8,1.3326735360138502,0.7337097087878174,0.840258462276758,0.47610981767039967,0.8154413724137145,0.72636241311515
17,0,7,1000,3,4,3,0.2,8,1.7052316912968692,0.9167154448235457,0.8636521012341365,0.47610981767039967,0.864954236754449,0.8891111486462752
18,0,8,1000,3,4,3,0.2,8,1.5738350191277932,0.72636241311515,0.7330229184085142,0.3431948519498242,0.7185265729895101,0.5334607853770419
19,0,9,1000,3,4,3,0.2,8,1.9160344152919293,0.6880006104262336,0.8472483187926624,0.13701051694865132,0.8630684569448146,0.573004697633241
20,0,0,100,7,18,7,0.2,36,5.612481977990083,0.5063758837147628,1.0,1.3125800732989446e-15,1.0,1.3125800732989446e-15
21,0,1,100,7,18,7,0.2,36,5.59976937576239,1.3125800732989446e-15,1.0,1.3125800732989446e-15,1.0,1.3125800732989446e-15
22,0,2,100,7,18,7,0.2,36,5.474547011210324,1.3125800732989446e-15,1.0,1.3125800732989446e-15,1.0,1.3125800732989446e-15
23,0,3,100,7,18,7,0.2,36,5.82310002896974,1.3125800732989446e-15,1.0,1.3125800732989446e-15,1.0,1.3125800732989446e-15
24,0,4,100,7,18,7,0.2,36,5.551693076758909,1.3125800732989446e-15,1.0,1.3125800732989446e-15,1.0,1.3125800732989446e-15
25,0,5,100,7,18,7,0.2,36,5.638131994968492,1.3125800732989446e-15,1.0,1.3125800732989446e-15,1.0,1.3125800732989446e-15
26,0,6,100,7,18,7,0.2,36,5.591493682086676,1.3125800732989446e-15,1.0,1.3125800732989446e-15,1.0,1.3125800732989446e-15
27,0,7,100,7,18,7,0.2,36,5.68745625858703,1.3125800732989446e-15,1.0,1.3125800732989446e-15,1.0,1.3125800732989446e-15
28,0,8,100,7,18,7,0.2,36,5.624422197335946,0.4591588859809715,1.0,1.3125800732989446e-15,1.0,1.3125800732989446e-15
29,0,9,100,7,18,7,0.2,36,5.626054889284113,0.5081417788061571,1.0,1.3125800732989446e-15,1.0,1.3125800732989446e-15
30,0,0,1200,10,2,10,0.2,4,1.1963497883448628,0.5612060988095278,0.7657779502830949,0.3733093621468509,0.4899949552427047,0.23738757941655603
31,0,1,1200,10,2,10,0.2,4,1.1710131683173328,0.3836271947818803,0.6012984037440496,0.04650433580423245,0.5667940045768831,0.3585518781666378
32,0,2,1200,10,2,10,0.2,4,1.292382040105824,0.5815327128769492,0.7165414977644575,0.292116409193569,0.6790004832984872,-2.5072514130399532e-15
33,0,3,1200,10,2,10,0.2,4,1.2502899500368645,0.33519274363693485,0.6462898426526635,0.24174464055532188,0.5747092095406553,0.35657917350443485
34,0,4,1200,10,2,10,0.2,4,1.312885119843532,0.6376818975046532,0.8103177975209093,0.6958253881641094,0.7634094571360658,0.4386258585251912
35,0,5,1200,10,2,10,0.2,4,1.2502396508819027,0.5876794376192612,0.669182338922929,0.40035058478923763,0.6315694052517244,0.36185800145740976
36,0,6,1200,10,2,10,0.2,4,1.265283109470675,0.3413038251011223,0.7041993023533272,0.24589093446955979,0.688103843362753,0.3183619790969869
37,0,7,1200,10,2,10,0.2,4,1.2999847124131285,0.5534851612812458,0.7713246249716873,0.374538765592368,0.7338245991609986,-2.5072514130399532e-15
38,0,8,1200,10,2,10,0.2,4,1.2055308319696971,0.31750493797233936,0.6362080957501279,0.21176202018593002,0.5909080535673527,-2.5072514130399532e-15
39,0,9,1200,10,2,10,0.2,4,1.3147972495267533,0.6029719111059008,0.7451485857766195,0.53145444520435,0.7122161224057475,0.3501579191479681
