,run_id,step,n_samples,jitter,k,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,0,1000,0.03,2,0.2,4,1.2445067649548236,0.2948408236682619,0.3998273070092486,1.0,0.4312979352952209,0.4312979352952209
1,0,1,1000,0.03,2,0.2,4,1.2475049338907076,0.2711657230370573,0.3773406998654343,1.0,0.4369542669794081,0.4367599678601874
2,0,2,1000,0.03,2,0.2,4,1.2459433240240498,0.34966545847909986,0.3749447727341976,1.0,0.43952293322574987,0.43952293322574987
3,0,3,1000,0.03,2,0.2,4,1.2475952046397834,0.277541523442254,0.3847458285223912,1.0,0.4421753477149427,0.4394574924968016
4,0,4,1000,0.03,2,0.2,4,1.246083972405493,0.26214918571011925,0.3847327544300712,1.0,0.4312821111119288,0.4312821111119288
5,0,5,1000,0.03,2,0.2,4,1.2422994457298642,0.30905720435606704,0.3972864187762055,1.0,0.4451146384938021,0.43675996786018734
6,0,6,1000,0.03,2,0.2,4,1.2455255025095167,0.33587535467230345,0.3847458285223912,1.0,0.42859815147883756,0.42591872924067614
7,0,7,1000,0.03,2,0.2,4,1.2470210062095934,0.35261392044235357,0.38228567477398706,1.0,0.4421753477149427,0.4449138755528991
8,0,8,1000,0.03,2,0.2,4,1.2433712533437196,0.2704028593418566,0.3823374510586107,1.0,0.4339864245294516,0.4339864245294516
9,0,9,1000,0.03,2,0.2,4,1.2478176171680588,0.29877496459935077,0.37246570069314217,1.0,0.4339864245294516,0.4339864245294516
10,0,0,600,0.12,2,0.2,4,1.2622538438293296,0.9487918573792787,0.39362487692248516,0.9026090108237561,0.4376126678982222,0.46533628657501197
11,0,1,600,0.12,2,0.2,4,1.2526354334832328,0.6652363775465195,0.3649250146117764,0.9113836160466751,0.40218228549175983,0.41953744459767
12,0,2,600,0.12,2,0.2,4,1.2362568107725191,0.943403103120401,0.3812780127205638,0.9059825570838818,0.4240344758051075,0.4374319940105724
13,0,3,600,0.12,2,0.2,4,1.254396636892005,0.9595171114991143,0.3785325096522011,0.9089216077666594,0.42250679873630376,0.43391845485664005
14,0,4,600,0.12,2,0.2,4,1.2405888604158348,0.6588750003069467,0.3900184673845428,0.8880033527705025,0.44658864923251257,0.44658864923251257
15,0,5,600,0.12,2,0.2,4,1.2469157682266498,0.9549373419866486,0.3812780127205638,0.9222118414868874,0.44230324768276214,0.47000034710501837
16,0,6,600,0.12,2,0.2,4,1.2463726269396609,0.9421523183083671,0.3860037219929681,0.9348643350966952,0.4376126678982222,0.4606807900111084
17,0,7,600,0.12,2,0.2,4,1.2556745968814587,0.5433962402951413,0.3894237919427529,0.9288234211290323,0.4373417421093794,0.44658864923251257
18,0,8,600,0.12,2,0.2,4,1.2469923604287474,0.5018984464227951,0.3652265262085589,0.8694546429390068,0.44658864923251257,0.451161021437418
19,0,9,600,0.12,2,0.2,4,1.2440754107014174,0.983861298886216,0.40218228549175983,0.8756214943703208,0.4418891460462206,0.43734174210937937
20,0,0,400,0.02,2,0.2,4,1.2423608665716224,0.2764680334996251,0.38333081245490247,1.0,0.43474711450119446,0.44848636709686324
21,0,1,400,0.02,2,0.2,4,1.242603876936386,0.2744625654899419,0.37697649546770534,1.0,0.43474711450119446,0.43474711450119446
22,0,2,400,0.02,2,0.2,4,1.2419166233405738,0.28588049398038473,0.38905378385022327,1.0,0.43474711450119446,0.44869924742642103
23,0,3,400,0.02,2,0.2,4,1.2432011760085129,0.5556432081582843,0.3828417906275844,1.0,0.43535219629180727,0.4415509318646539
24,0,4,400,0.02,2,0.2,4,1.2457437179452122,0.267050853335179,0.37697649546770534,1.0,0.4215131273588164,0.42806951814137595
25,0,5,400,0.02,2,0.2,4,1.2422996925911987,0.302243487414829,0.3766590140228473,1.0,0.42797157598600616,0.42797157598600616
26,0,6,400,0.02,2,0.2,4,1.245016364375382,0.30909391217114773,0.3828417906275844,1.0,0.42806951814137595,0.42806951814137595
27,0,7,400,0.02,2,0.2,4,1.2456113819706536,0.2764979558392627,0.3891372969894583,1.0,0.44848636709686324,0.44848636709686324
28,0,8,400,0.02,2,0.2,4,1.2444475709426603,0.2779363077380729,0.3953783933256764,1.0,0.42132237919993265,0.42132237919993265
29,0,9,400,0.02,2,0.2,4,1.2446538880201574,0.3136762698797704,0.3766590140228473,1.0,0.44848636709686324,0.4416543956548658
30,0,0,1300,0.12,2,0.2,4,1.2436254935714586,0.4724885421935123,0.3859994342940202,-0.0006043209553224026,0.4299102518215571,0.43629714005928777
31,0,1,1300,0.12,2,0.2,4,1.2466334461079664,0.43342693572347213,0.37467049848140277,-0.0004704478552985639,0.4508192441290507,0.4575892429327783
32,0,2,1300,0.12,2,0.2,4,1.2485333698082453,0.9043537694557349,0.39005981103394244,-0.000347549439934441,0.4500710242135757,0.46701625936417845
33,0,3,1300,0.12,2,0.2,4,1.250204950243974,0.41410202319016765,0.37462602534267886,-0.0010282199282628253,0.4195176993513335,0.42765933459417116
34,0,4,1300,0.12,2,0.2,4,1.248499612696014,0.4567942872441211,0.3936883089970536,0.0031173988448198707,0.40944049502462526,0.41145379435430374
35,0,5,1300,0.12,2,0.2,4,1.2440383463865283,0.5503939415649334,0.38603052914985586,-0.0010120534646048344,0.435962951686269,0.44861850228029126
36,0,6,1300,0.12,2,0.2,4,1.2418133579909763,0.49212644366702124,0.38631068963960224,-0.0010120534646048344,0.41565598244491164,0.43187606044982724
37,0,7,1300,0.12,2,0.2,4,1.2473209803455731,0.5051263142685675,0.3709359891221049,0.9366125306675879,0.43182915361925833,0.43804784904141014
