,step,n_samples,n_centers,jitter,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
50,0,1600,2,0.15,0.2,4,1.2403782608731284,0.46175131056919577,0.36242534405343607,-0.0005606315673257198,0.4025508371462993,0.41717377300409825
51,1,1600,2,0.15,0.2,4,1.2446097307063508,0.44406488842282116,0.3930280545332215,0.0017936244872038892,0.4187877971905376,0.4270775889804424
52,2,1600,2,0.15,0.2,4,1.2501353581837256,0.4970903445538539,0.36991183061630806,0.004387546821914141,0.4106412330566097,0.4171504449214011
53,3,1600,2,0.15,0.2,4,1.2443524358294662,0.46058342159642773,0.38527253712663967,-0.0004954962822869625,0.42068115185346555,0.43061355861760925
54,4,1600,2,0.15,0.2,4,1.2410246566023102,0.8764453540479012,0.3746313566866006,-0.0008229265797109575,0.418805409638478,0.4372275112531088
55,5,1600,2,0.15,0.2,4,1.246458754817218,0.44945374946188316,0.36992141970444875,-0.0004954962822869625,0.4107207602940276,0.4187877971905376
56,6,1600,2,0.15,0.2,4,1.244771498391714,0.8658115417122274,0.3964414051698494,-0.0006671233154586213,0.4274179961680879,0.4373794341221079
57,7,1600,2,0.15,0.2,4,1.2524443321800913,0.8627227070787664,0.3901400305549015,0.0005093601475474962,0.4326129209941788,0.43625257518576055
58,8,1600,2,0.15,0.2,4,1.2467617741609667,0.4802276674757403,0.3669979358397194,-0.0008162843311746616,0.41550321487238917,0.42875536716125634
59,9,1600,2,0.15,0.2,4,1.2435887331616313,0.35706645719681485,0.3610287549110853,0.0017936244872038892,0.4237575922646942,0.4337994084625365
