,Dataset,AMI,ARI,tmax
41,Moons,0.5803256668612358,0.4632567850013341,11
42,Moons,0.57996175337012,0.46439842694228256,12
43,Moons,0.4423692266137655,0.2684692868087988,13
44,Moons,0.4199674635440464,0.2389250638963594,14
45,Moons,0.4607709008319842,0.28151744867729434,15
46,Moons,0.4500160022724777,0.25251858022741147,16
47,Moons,0.47220378373290905,0.26488991225817365,17
48,Moons,0.4968165523907062,0.30229030794429596,18
49,Moons,0.49543214471932484,0.302736616343946,19
50,Moons,0.4917505025735905,0.29810850357196916,20
51,Moons,0.4870995762158635,0.29195696471662663,21
52,Moons,0.5048744782683379,0.31130916681163445,22
53,Moons,0.5208819161743076,0.3214741241706471,23
54,Moons,0.491794080609146,0.48394468807836605,24
55,Moons,0.5136335881226838,0.4837293507343028,25
56,Moons,0.5243292106070286,0.3257882543672551,26
57,Moons,0.5084678628629288,0.4809456546031787,27
58,Moons,0.4798168787238726,0.481160319055278,28
59,Moons,0.49821648024052917,0.46340897285114646,29
60,Circles,0.12229559415870865,0.004850803881272284,0
61,Circles,0.16380432699410233,0.004464053874212756,1
62,Circles,0.01196783634463682,0.0002090553344020674,2
63,Circles,0.024688311036494538,0.0004840211575623956,3
64,Circles,0.16380432699410233,0.004464053874212756,4
65,Circles,0.16380432699410233,0.004464053874212756,5
66,Circles,0.16380432699410233,0.004464053874212756,6
67,Circles,0.16380432699410233,0.004464053874212756,7
68,Circles,0.16380432699410233,0.004464053874212756,8
69,Circles,0.16380432699410233,0.004464053874212756,9
70,Circles,0.01777311067954682,0.0003073307561571687,10
71,Circles,0.016471303904032793,0.00033236359219777537,11
72,Circles,0.1753703397442711,0.005705279173384949,12
73,Circles,0.18055145390194235,0.006505611547330028,13
74,Circles,0.1823288008066959,0.007353843199506866,14
75,Circles,0.1880088552562591,0.00785139588193443,15
76,Circles,0.1908835705198423,0.008606063877080246,16
77,Circles,0.19199872506361101,0.008030263359610145,17
78,Circles,0.1911518962302707,0.00830056373665311,18
79,Circles,0.1899338134753501,0.007671257276938245,19
80,Circles,0.19064965393385777,0.007751823983087173,20
81,Circles,0.18798563085689765,0.007049421826939064,21
82,Circles,0.1890415233102906,0.007133785823799482,22
83,Circles,0.18822305358771305,0.007098567598432555,23
84,Circles,0.18685674424776882,0.006868692364270155,24
85,Circles,0.18914967096388446,0.00701831167257994,25
86,Circles,0.18872970120332525,0.007169244452409662,26
87,Circles,0.18780413071505317,0.007178361078337783,27
88,Circles,0.19123164195545322,0.007467135635378787,28
89,Circles,0.19280947323970124,0.007616869967752944,29
90,Iris,0.3395950212045933,0.21312315096922327,0
91,Iris,0.5236539913779996,0.4490786778823443,1
92,Iris,0.7118839503026608,0.6458588768396285,2
93,Iris,0.7315847607219575,0.5681159420289855,3
94,Iris,0.7906982329182587,0.7581930385690678,4
95,Iris,0.8553968865986616,0.8682571050219008,5
96,Iris,0.7954205025674189,0.745503868180448,6
97,Iris,0.7954205025674189,0.745503868180448,7
98,Iris,0.7954205025674189,0.745503868180448,8
99,Iris,0.7315847607219575,0.5681159420289855,9
100,Iris,0.7315847607219575,0.5681159420289855,10
101,Iris,0.7315847607219575,0.5681159420289855,11
102,Iris,0.7315847607219575,0.5681159420289855,12
103,Iris,0.7315847607219575,0.5681159420289855,13
104,Iris,0.7315847607219575,0.5681159420289855,14
105,Iris,0.7315847607219575,0.5681159420289855,15
106,Iris,0.7315847607219575,0.5681159420289855,16
107,Iris,0.7315847607219575,0.5681159420289855,17
108,Iris,0.7315847607219575,0.5681159420289855,18
109,Iris,0.7315847607219575,0.5681159420289855,19
110,Iris,0.7315847607219575,0.5681159420289855,20
111,Iris,0.7315847607219575,0.5681159420289855,21
112,Iris,0.7315847607219575,0.5681159420289855,22
113,Iris,0.7315847607219575,0.5681159420289855,23
114,Iris,0.7315847607219575,0.5681159420289855,24
115,Iris,0.7315847607219575,0.5681159420289855,25
116,Iris,0.7315847607219575,0.5681159420289855,26
117,Iris,0.7315847607219575,0.5681159420289855,27
118,Iris,0.7315847607219575,0.5681159420289855,28
119,Iris,0.7315847607219575,0.5681159420289855,29
120,Wine,0.15745384148457447,0.030888144644504574,0
121,Wine,0.21888271830259823,0.07761410953040013,1
122,Wine,0.28871453871135105,0.15200696032766525,2
123,Wine,0.313347052607466,0.29033061848345354,3
124,Wine,0.36169450987678714,0.38497654794092045,4
125,Wine,0.3753445154299609,0.3820252674052814,5
126,Wine,0.39533142600338206,0.39879240841426944,6
127,Wine,0.40725301148567616,0.35973009937598255,7
128,Wine,0.39906741345877444,0.345073084609236,8
129,Wine,0.40925166327161827,0.3542246300358828,9
130,Wine,0.4137088131680307,0.36502907200926377,10
131,Wine,0.41313800220015556,0.3715000782119531,11
132,Wine,0.41313800220015556,0.3715000782119531,12
133,Wine,0.41313800220015556,0.3715000782119531,13
134,Wine,0.41313800220015556,0.3715000782119531,14
135,Wine,0.41313800220015556,0.3715000782119531,15
136,Wine,0.41313800220015556,0.3715000782119531,16
137,Wine,0.41313800220015556,0.3715000782119531,17
138,Wine,0.41313800220015556,0.3715000782119531,18
139,Wine,0.41313800220015556,0.3715000782119531,19
140,Wine,0.41313800220015556,0.3715000782119531,20
141,Wine,0.41313800220015556,0.3715000782119531,21
142,Wine,0.41313800220015556,0.3715000782119531,22
143,Wine,0.41313800220015556,0.3715000782119531,23
144,Wine,0.41313800220015556,0.3715000782119531,24
145,Wine,0.2744632397188633,0.23435275187782154,25
146,Wine,0.2744632397188633,0.23435275187782154,26
147,Wine,0.2744632397188633,0.23435275187782154,27
148,Wine,0.2744632397188633,0.23435275187782154,28
149,Wine,0.2744632397188633,0.23435275187782154,29
150,Breast Cancer,0.4145102360772966,0.6209054920610089,0
151,Breast Cancer,0.3038476912350048,0.38634284810945996,1
152,Breast Cancer,0.39585720653450296,0.4645606742507873,2
153,Breast Cancer,0.4018228990526252,0.4516822553705908,3
154,Breast Cancer,0.430927518136053,0.42998439547541395,4
155,Breast Cancer,0.43313227476388116,0.4350525869300723,5
156,Breast Cancer,0.4346559176600674,0.4286381457906401,6
157,Breast Cancer,0.4386605773008426,0.45834430258043746,7
158,Breast Cancer,0.4469405901057719,0.44842277458513596,8
159,Breast Cancer,0.45497675091513295,0.5023508643664562,9
