,run_id,step,n_samples,n_centers,n_features,jitter,k,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,0,600,4,4,0.15,4,0.2,4,1.988024493861406,0.0,0.9854641432212732,0.4675794561891728,0.9749077302581489,0.8477044326203205
1,0,1,600,4,4,0.15,4,0.2,4,2.302317248501446,0.509017395957368,0.8626347339268905,0.39318420448397473,0.8238295869195131,0.0
2,0,2,600,4,4,0.15,4,0.2,4,1.923351639033862,0.58490031112572,0.7935803836601244,0.31612658131652654,0.7077245600573443,0.0
3,0,3,600,4,4,0.15,4,0.2,4,2.126704674965388,0.9927341314025974,0.9782020965092063,0.5068493798558453,0.93666036410994,0.0
4,0,4,600,4,4,0.15,4,0.2,4,2.20934841199611,1.0,1.0,0.6098580160546935,1.0,0.5760652048950482
5,0,5,600,4,4,0.15,4,0.2,4,2.126708297120882,0.9776389259006988,0.9488416167476046,0.48376620052832614,0.9400918358463375,0.6361649461704941
6,0,6,600,4,4,0.15,4,0.2,4,2.063138759047872,0.0,0.8034797310359867,0.49823742632461776,0.7840768238400959,0.5498109366601972
7,0,7,600,4,4,0.15,4,0.2,4,2.2000095192575087,0.9503608895903457,0.8996246687913939,0.4816510971403336,0.8670280608545041,0.560539218919454
8,0,8,600,4,4,0.15,4,0.2,4,1.9133261821316179,0.5174573714948546,0.7015396739887646,0.4027654943765026,0.4937474771897792,0.40116147145491027
9,0,9,600,4,4,0.15,4,0.2,4,2.018997499857931,0.0,0.9670379588281636,0.4835286583485953,0.9526026610116092,0.5644045455778359
10,0,0,1000,6,13,0.01,6,0.2,4,4.480825375700967,0.5231266374095412,1.0,0.0047235256170553375,0.9999999999999999,1.820221128394447e-15
11,0,1,1000,6,13,0.01,6,0.2,4,4.724660204546523,0.5235485537274793,0.9999999999999999,1.820221128394447e-15,0.9999999999999999,1.820221128394447e-15
12,0,2,1000,6,13,0.01,6,0.2,4,4.1812136586981685,0.5231266374095412,0.996562968475046,1.820221128394447e-15,0.996562968475046,0.40090768898627455
13,0,3,1000,6,13,0.01,6,0.2,4,4.6543805361597945,0.5520607618060982,0.996562968475046,1.820221128394447e-15,0.9999999999999999,1.820221128394447e-15
14,0,4,1000,6,13,0.01,6,0.2,4,4.802356986784134,0.5231266374095412,0.9999999999999999,1.820221128394447e-15,0.9999999999999999,1.820221128394447e-15
15,0,5,1000,6,13,0.01,6,0.2,4,4.467346619180533,0.5231266374095412,0.9999999999999999,1.820221128394447e-15,0.9999999999999999,1.820221128394447e-15
16,0,6,1000,6,13,0.01,6,0.2,4,4.587841500053251,0.5235485537274793,0.9999999999999999,1.820221128394447e-15,0.9999999999999999,1.820221128394447e-15
17,0,7,1000,6,13,0.01,6,0.2,4,4.621544080884067,0.5569910859447333,1.0,1.820221128394447e-15,0.9999999999999999,1.820221128394447e-15
18,0,8,1000,6,13,0.01,6,0.2,4,4.5761886408598205,0.5227017340208383,0.9931327118113591,1.820221128394447e-15,0.9028107449116892,1.820221128394447e-15
19,0,9,1000,6,13,0.01,6,0.2,4,4.571424818375977,0.5569910859447333,1.0,0.01052275082357343,0.9999999999999999,1.820221128394447e-15
20,0,0,500,7,15,0.09,7,0.2,4,5.081376037361189,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15
21,0,1,500,7,15,0.09,7,0.2,4,4.9366602579847765,0.5175687198906637,1.0,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15
22,0,2,500,7,15,0.09,7,0.2,4,4.930406303671459,0.5175687198906637,0.9944792704743195,-1.8157145147512635e-15,0.9300857418157734,-1.8157145147512635e-15
23,0,3,500,7,15,0.09,7,0.2,4,5.01767221006319,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15
24,0,4,500,7,15,0.09,7,0.2,4,5.145406902294856,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15
25,0,5,500,7,15,0.09,7,0.2,4,4.974563177902125,0.5175687198906637,1.0,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15
26,0,6,500,7,15,0.09,7,0.2,4,4.999091133566026,0.5172446916491509,1.0,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15
27,0,7,500,7,15,0.09,7,0.2,4,5.05744701762019,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15
28,0,8,500,7,15,0.09,7,0.2,4,4.9844297914031435,0.5172446916491509,1.0,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15
29,0,9,500,7,15,0.09,7,0.2,4,4.960411720000165,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15,1.0,-1.8157145147512635e-15
30,0,0,1300,2,16,0.15,2,0.2,4,3.7037305234261586,1.0,1.0,0.0,1.0,0.9724461165428882
31,0,1,1300,2,16,0.15,2,0.2,4,4.047276158946711,1.0,1.0,0.0,1.0,0.9884373065936601
32,0,2,1300,2,16,0.15,2,0.2,4,3.5717335234055967,1.0,1.0,0.0,1.0,1.0
33,0,3,1300,2,16,0.15,2,0.2,4,3.859158865360901,1.0,1.0,0.0,1.0,0.9475473390784062
34,0,4,1300,2,16,0.15,2,0.2,4,3.5730430909644397,1.0,1.0,0.0,1.0,0.9753769299310796
35,0,5,1300,2,16,0.15,2,0.2,4,3.9837731903670974,1.0,1.0,0.0,1.0,0.9764077717049674
