,step,n_samples,n_centers,jitter,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
21,1,1000,2,0.1,0.2,4,1.251153125028158,0.9811693365110503,0.36524391287731345,0.9673364427756311,0.41334529149624305,0.40770612133716333
22,2,1000,2,0.1,0.2,4,1.24872458104702,0.9791708810534733,0.387223453255782,-0.0006043380522977346,0.4208471410186625,0.4368408939198059
23,3,1000,2,0.1,0.2,4,1.2471929386244804,0.9707591747969702,0.38280429081068235,0.9597851568079352,0.4366952597833216,0.45892933099911926
24,4,1000,2,0.1,0.2,4,1.2514104397762975,0.6739223722779073,0.36334778463753753,0.979500644047913,0.42862945979343786,0.42862945979343786
25,5,1000,2,0.1,0.2,4,1.2382451844939122,0.5028719413089969,0.39745178425494077,0.9571922972164653,0.4367114340736112,0.4394574924968016
26,6,1000,2,0.1,0.2,4,1.2448515850327968,0.9811693365110503,0.3798043110841882,0.956938611419992,0.4153536424837257,0.4285981514788376
27,7,1000,2,0.1,0.2,4,1.2474527191596383,0.6019103087512803,0.37254022909023604,0.980245619298266,0.4153536424837257,0.4369542669794081
28,8,1000,2,0.1,0.2,4,1.2402029562443029,0.5532572778639256,0.3798427386634432,-0.0002308111704738832,0.4504543697087265,0.4451146384938021
29,9,1000,2,0.1,0.2,4,1.2514828365853925,0.5516660512772769,0.37254022909023604,0.980245619298266,0.42335126806311185,0.42335126806311185
30,0,1000,2,0.15,0.2,4,1.249696970548751,0.8767178033486016,0.3902001341988633,0.0017670772103666403,0.447690334548983,0.4394247832966086
31,1,1000,2,0.15,0.2,4,1.2543836611275345,0.6585325818711825,0.3510703603418878,-0.0009785008526266073,0.39805976864193077,0.415873722199665
32,2,1000,2,0.15,0.2,4,1.2511085424521544,0.4777296861104451,0.37015218719713017,-0.001268146220545928,0.4383217734048269,0.4514149255341521
33,3,1000,2,0.15,0.2,4,1.249378623018796,0.9126498038812536,0.3855719342438642,0.0045691231025335845,0.4287861036841955,0.43408244171108856
34,4,1000,2,0.15,0.2,4,1.2508611468296453,0.8879862609735324,0.35812411323897986,-0.0009366126266470273,0.39745178425494077,0.41814937445627337
35,5,1000,2,0.15,0.2,4,1.241583930450611,0.810535183030848,0.382285674773987,0.000417731305792059,0.4340184231355605,0.4340184231355605
36,6,1000,2,0.15,0.2,4,1.2451068702227281,0.9083901585618883,0.36298930090968234,-5.508157038192797e-05,0.3972864187762055,0.4154723518191629
37,7,1000,2,0.15,0.2,4,1.2494913005601962,0.5778448212106998,0.3676586738264054,-0.0009785008526266073,0.4128157301270109,0.43446715294182564
38,8,1000,2,0.15,0.2,4,1.2415641937037418,0.8644486591028128,0.3628461644010841,0.005225946753600768,0.4232899735538961,0.4312821111119288
39,9,1000,2,0.15,0.2,4,1.2544453273829637,0.9063926496273429,0.37249053911138524,-0.0012588224523565796,0.39984122510493525,0.41799935441351427
40,0,1000,2,0.2,0.2,4,1.2545075286990126,0.7475537319072664,0.4000501593130666,0.0011315015499484124,0.42335126806311185,0.4312821111119288
41,1,1000,2,0.2,0.2,4,1.257196662547406,0.6875883627367816,0.3239902986523794,-0.0010568904067389197,0.3635153922278788,0.39231311088961973
42,2,1000,2,0.2,0.2,4,1.2562532987734858,0.5914516522948429,0.35339765842391024,-0.0010639967305396047,0.4256689228061328,0.4264772068274902
43,3,1000,2,0.2,0.2,4,1.253532815230664,0.8181457363821131,0.3808326354936108,0.013269426064604668,0.40586335916185384,0.4368408939198059
44,4,1000,2,0.2,0.2,4,1.2515606142213247,0.8160046382620223,0.34681920848075154,-0.0010609539526112047,0.37271428219024927,0.38494208453915607
45,5,1000,2,0.2,0.2,4,1.2469215115584176,0.6852912494948443,0.3607605332905617,-0.0012691695239888162,0.4050076400657328,0.41334529149624305
46,6,1000,2,0.2,0.2,4,1.24787358325772,0.5977050403252209,0.3605124005631604,0.012716699482539725,0.38233745105861067,0.4050787548944627
47,7,1000,2,0.2,0.2,4,1.254865902431156,0.5120377533433296,0.3628461644010841,0.0040096661658444305,0.4050076400657328,0.420740933298893
48,8,1000,2,0.2,0.2,4,1.246821932816129,0.7219595608784469,0.3511043695029948,-0.001202341213204509,0.38241515096238676,0.38241515096238676
49,9,1000,2,0.2,0.2,4,1.2589227137850048,0.6562445186518487,0.360465187170122,0.002506531605829778,0.3724905391113853,0.38730273509671664
