,step,n_samples,n_centers,jitter,features,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
40,0,800,2,0.03,10,6,6,2.9677357902737174,0.9873803840988732,0.9772628917101801,0.0,0.9873803840988731,0.9772628917101801
41,1,800,2,0.03,10,6,6,3.150471213122381,0.9873803840988731,0.9772628917101801,0.0,0.9873803840988731,0.9329675061118232
42,2,800,2,0.03,10,6,6,2.8302529510004786,1.0,1.0,0.0,1.0,0.9726262845605567
43,3,800,2,0.03,10,6,6,3.0435151219855108,1.0,0.9873803840988732,0.0,1.0,0.9570847634552425
44,4,800,2,0.03,10,6,6,2.618979371299588,1.0,1.0,0.0,1.0,1.0
45,5,800,2,0.03,10,6,6,2.8033029912078247,1.0,1.0,0.0,1.0,0.9762921975624905
46,6,800,2,0.03,10,6,6,2.5581496497777225,1.0,1.0,0.0,1.0,0.9655479941794339
47,7,800,2,0.03,10,6,6,2.5224440668093377,1.0,1.0,0.0,1.0,1.0
48,8,800,2,0.03,10,6,6,2.8706011790965977,1.0,1.0,0.0,1.0,0.9702842611495601
49,9,800,2,0.03,10,6,6,2.533396649833395,1.0,1.0,0.0,1.0,1.0
50,0,800,2,0.03,15,6,6,3.149176601832446,1.0,1.0,0.0,1.0,0.984287458165766
51,1,800,2,0.03,15,6,6,3.259174102398917,1.0,1.0,0.0,1.0,0.984287458165766
52,2,800,2,0.03,15,6,6,3.9874024231633767,0.9873803840988731,0.9873803840988732,0.0,0.9873803840988731,0.9504903165102759
53,3,800,2,0.03,15,6,6,3.571235618321651,1.0,1.0,0.0,1.0,0.9561106150101084
54,4,800,2,0.03,15,6,6,2.975366482534881,1.0,1.0,0.0,1.0,0.9577484366421511
55,5,800,2,0.03,15,6,6,3.882644153493126,1.0,1.0,0.0,1.0,0.9492383203347813
56,6,800,2,0.03,15,6,6,3.272689013534865,1.0,1.0,0.0,1.0,1.0
57,7,800,2,0.03,15,6,6,3.300519784385038,1.0,1.0,0.0,1.0,0.9733674467353511
58,8,800,2,0.03,15,6,6,3.7364338498730776,1.0,1.0,0.0,1.0,0.9781859056376557
59,9,800,2,0.03,15,6,6,2.991245698035527,1.0,1.0,0.0,1.0,0.9395279087041435
60,0,800,2,0.03,20,6,6,4.528478623178149,1.0,1.0,0.0,1.0,0.9471327403273926
61,1,800,2,0.03,20,6,6,3.613289584082768,1.0,1.0,0.0,1.0,0.9704762744589838
62,2,800,2,0.03,20,6,6,4.65859418537962,1.0,1.0,0.0,1.0,0.9471327403273926
63,3,800,2,0.03,20,6,6,4.318004659261214,1.0,1.0,0.0,1.0,0.9196347120184468
64,4,800,2,0.03,20,6,6,4.132871346807573,1.0,1.0,0.0,1.0,0.9555962316800418
65,5,800,2,0.03,20,6,6,3.851808288371667,1.0,1.0,0.0,1.0,0.9385561054373902
66,6,800,2,0.03,20,6,6,4.270751448187416,1.0,1.0,0.0,1.0,0.9657231554880066
67,7,800,2,0.03,20,6,6,4.5022884830116565,1.0,1.0,0.0,1.0,0.987511199316656
68,8,800,2,0.03,20,6,6,4.2074975210580865,1.0,1.0,0.0,1.0,0.9430371550087782
69,9,800,2,0.03,20,6,6,4.275357630130338,1.0,1.0,0.0,1.0,0.95981002719931
