,step,n_samples,n_centers,jitter,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
50,0,800,2,0.15,0.2,4,1.2477940567526733,0.6157839209600133,0.3621739982811956,0.0015512450161746922,0.4023629254669761,0.42184759345043776
51,1,800,2,0.15,0.2,4,1.2432290724679458,0.6901928480477717,0.37456878113190517,0.015760119025557566,0.40262707880041254,0.42851521242412355
52,2,800,2,0.15,0.2,4,1.2429910582085237,0.8527743906194832,0.3927533855711341,-0.0007682997713004772,0.4386428709838782,0.4352601443124953
53,3,800,2,0.15,0.2,4,1.2420983475727683,0.45390852730665743,0.3899424054899061,0.028913582543770015,0.43533558613532497,0.4455055628785195
54,4,800,2,0.15,0.2,4,1.250563223846332,0.5769014084355603,0.3883566107924459,0.011388186883405574,0.41325789105518296,0.43614277255515704
55,5,800,2,0.15,0.2,4,1.263303981088497,0.9164786564005376,0.36558820444674706,-0.0011498634117052917,0.4283749805649358,0.42783304095421176
56,6,800,2,0.15,0.2,4,1.2503194624119072,0.6741628828894778,0.37456878113190517,0.0230774952302801,0.40368860117768224,0.42937401066597874
57,7,800,2,0.15,0.2,4,1.252780516737175,0.6847372196085797,0.35329558101074066,0.0016489495122099062,0.42937401066597874,0.4326051528521964
58,8,800,2,0.15,0.2,4,1.2539567119973956,0.7271230882227316,0.36579607952645,-0.001543042456390512,0.4049595044106346,0.41450949807218374
59,9,800,2,0.15,0.2,4,1.2333026075848195,0.505710795323445,0.36528639045758793,0.005201434646589942,0.4022969632661939,0.3991301429857028
60,0,1000,2,0.15,0.2,4,1.249696970548751,0.8767178033486016,0.3902001341988633,0.0017670772103666403,0.447690334548983,0.4394247832966086
61,1,1000,2,0.15,0.2,4,1.2543836611275345,0.6585325818711825,0.3510703603418878,-0.0009785008526266073,0.39805976864193077,0.415873722199665
62,2,1000,2,0.15,0.2,4,1.2511085424521544,0.4777296861104451,0.37015218719713017,-0.001268146220545928,0.4383217734048269,0.4514149255341521
63,3,1000,2,0.15,0.2,4,1.249378623018796,0.9126498038812536,0.3855719342438642,0.0045691231025335845,0.4287861036841955,0.43408244171108856
64,4,1000,2,0.15,0.2,4,1.2508611468296453,0.8879862609735324,0.35812411323897986,-0.0009366126266470273,0.39745178425494077,0.41814937445627337
65,5,1000,2,0.15,0.2,4,1.241583930450611,0.810535183030848,0.382285674773987,0.000417731305792059,0.4340184231355605,0.4340184231355605
66,6,1000,2,0.15,0.2,4,1.2451068702227281,0.9083901585618883,0.36298930090968234,-5.508157038192797e-05,0.3972864187762055,0.4154723518191629
67,7,1000,2,0.15,0.2,4,1.2494913005601962,0.5778448212106998,0.3676586738264054,-0.0009785008526266073,0.4128157301270109,0.43446715294182564
68,8,1000,2,0.15,0.2,4,1.2415641937037418,0.8644486591028128,0.3628461644010841,0.005225946753600768,0.42328997355389614,0.4312821111119288
69,9,1000,2,0.15,0.2,4,1.2544453273829637,0.9063926496273429,0.37249053911138524,-0.0012588224523565796,0.39984122510493525,0.41799935441351427
70,0,1200,2,0.15,0.2,4,1.2576591785572853,0.6354321988036109,0.3695258095672697,0.005024499697852118,0.41335484646416465,0.4400148468084104
71,1,1200,2,0.15,0.2,4,1.2475722471227408,0.9261422854794258,0.36934702534185415,0.004417078943220475,0.4112204191786463,0.428935134125835
72,2,1200,2,0.15,0.2,4,1.2441584913013226,0.8979288182860609,0.3939909763939299,0.0032954551148422894,0.4309046701413558,0.4470047310974511
73,3,1200,2,0.15,0.2,4,1.2480163785017058,0.6015100533365683,0.39444439941118986,0.002142640715201705,0.42447844858042216,0.44008314998425435
74,4,1200,2,0.15,0.2,4,1.2476100982635592,0.502133953791871,0.36766376643803816,0.004359545315530971,0.4089580902224091,0.4132527224808187
75,5,1200,2,0.15,0.2,4,1.2445330370486551,0.5551706130949394,0.36173720153613687,-0.0007904944511709862,0.4098032801972799,0.4224458453238312
76,6,1200,2,0.15,0.2,4,1.2455019790247475,0.8035846554035357,0.38384108580054643,-0.00046672824764855457,0.43554227235291554,0.4424099133463172
77,7,1200,2,0.15,0.2,4,1.245533947527864,0.9363067953564949,0.39190407342592226,-0.001063738068848379,0.4264572249903088,0.4286631663075299
78,8,1200,2,0.15,0.2,4,1.249444696414132,0.8444155791812514,0.37784457307724745,0.002142640715201705,0.42447844858042216,0.4468291844973256
79,9,1200,2,0.15,0.2,4,1.2509461565136304,0.9037848112472364,0.35157510971883416,-0.0011467533723334058,0.39188537376359145,0.408917967172272
80,0,1400,2,0.15,0.2,4,1.2521730566647553,0.551919810652396,0.3705561386203784,-0.0006840274118291284,0.4137432412117738,0.4424851497829085
81,1,1400,2,0.15,0.2,4,1.2351750615998074,0.8841296471945145,0.37974619927939907,-0.0004052611206827346,0.41776383383468374,0.4289541012431354
82,2,1400,2,0.15,0.2,4,1.2513699781226577,0.8923291882083423,0.3688495601448696,-0.000464992182388361,0.4025516161135967,0.4136831249208691
83,3,1400,2,0.15,0.2,4,1.2407160675682756,0.867849013999286,0.38284305967034366,0.0018466084159924987,0.4249911071069789,0.45017503524073565
84,4,1400,2,0.15,0.2,4,1.2461660923697757,0.8545097719071315,0.38297542644277255,0.0006461925626172829,0.4375170307781852,0.46237551379093905
85,5,1400,2,0.15,0.2,4,1.242670264259061,0.8796027244897846,0.37746787498293044,-0.0007388964061016,0.41558078307757296,0.43102544581973784
86,6,1400,2,0.15,0.2,4,1.2516264715466003,0.879247392377911,0.3655844487915129,0.0015675878205727333,0.4182172420741086,0.4453660530402846
87,7,1400,2,0.15,0.2,4,1.249084729929885,0.45106109395092986,0.3863400447521646,0.003182605871936481,0.4288102117307152,0.43075942050867105
88,8,1400,2,0.15,0.2,4,1.2430147937360125,0.8841296471945146,0.3952798638798559,0.002504752785472572,0.4155277887377397,0.43063866244504295
89,9,1400,2,0.15,0.2,4,1.2486039164956446,0.8762248570507731,0.37255615749008547,0.0012797432697235034,0.41179572675918935,0.4344943148990686
90,0,1600,2,0.15,0.2,4,1.2403782608731284,0.46175131056919577,0.36242534405343607,-0.0005606315673257198,0.4025508371462993,0.41717377300409825
91,1,1600,2,0.15,0.2,4,1.2446097307063508,0.44406488842282116,0.3930280545332215,0.0017936244872038892,0.4187877971905376,0.4270775889804424
92,2,1600,2,0.15,0.2,4,1.2501353581837256,0.4970903445538539,0.36991183061630806,0.004387546821914141,0.4106412330566097,0.4171504449214011
93,3,1600,2,0.15,0.2,4,1.2443524358294662,0.46058342159642773,0.38527253712663967,-0.0004954962822869625,0.42068115185346566,0.43061355861760925
94,4,1600,2,0.15,0.2,4,1.2410246566023102,0.8764453540479012,0.3746313566866006,-0.0008229265797109575,0.418805409638478,0.4372275112531088
95,5,1600,2,0.15,0.2,4,1.246458754817218,0.44945374946188316,0.36992141970444875,-0.0004954962822869625,0.4107207602940276,0.4187877971905376
96,6,1600,2,0.15,0.2,4,1.244771498391714,0.8658115417122274,0.3964414051698494,-0.0006671233154586213,0.4274179961680879,0.4373794341221079
97,7,1600,2,0.15,0.2,4,1.2524443321800913,0.8627227070787664,0.3901400305549015,0.0005093601475474962,0.4326129209941788,0.43625257518576055
98,8,1600,2,0.15,0.2,4,1.2467617741609667,0.4802276674757403,0.3669979358397194,-0.0008162843311746616,0.41550321487238917,0.42875536716125634
99,9,1600,2,0.15,0.2,4,1.2435887331616313,0.35706645719681485,0.3610287549110853,0.0017936244872038892,0.4237575922646942,0.4337994084625365
