,run_id,step,n_samples,jitter,k,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,0,1600,0.1,2,0.2,4,1.2899548244255936,0.0016906413640825205,-0.000230444513455823,-0.0008401722879905879,-0.0004334271627331532,-0.0007567131629095533
1,0,1,1600,0.1,2,0.2,4,1.2899548244255936,0.0016906413640825205,-0.000230444513455823,-0.0008401722879905879,-0.0004334271627331532,-0.0007567131629095533
2,0,2,1600,0.1,2,0.2,4,1.2899548244255936,0.0016906413640825205,-0.000230444513455823,-0.0008401722879905879,-0.0004334271627331532,-0.0007567131629095533
3,0,3,1600,0.1,2,0.2,4,1.2899548244255936,0.0016906413640825205,-0.000230444513455823,-0.0008401722879905879,-0.0004334271627331532,-0.0007567131629095533
4,0,4,1600,0.1,2,0.2,4,1.2899548244255936,0.0016906413640825205,-0.000230444513455823,-0.0008401722879905879,-0.0004334271627331532,-0.0007567131629095533
5,0,5,1600,0.1,2,0.2,4,1.2899548244255936,0.0016906413640825205,-0.000230444513455823,-0.0008401722879905879,-0.0004334271627331532,-0.0007567131629095533
6,0,6,1600,0.1,2,0.2,4,1.2899548244255936,0.0016906413640825205,-0.000230444513455823,-0.0008401722879905879,-0.0004334271627331532,-0.0007567131629095533
7,0,7,1600,0.1,2,0.2,4,1.2899548244255936,0.0016906413640825205,-0.000230444513455823,-0.0008401722879905879,-0.0004334271627331532,-0.0007567131629095533
8,0,8,1600,0.1,2,0.2,4,1.2899548244255936,0.0016906413640825205,-0.000230444513455823,-0.0008401722879905879,-0.0004334271627331532,-0.0007567131629095533
9,0,9,1600,0.1,2,0.2,4,1.2899548244255936,0.0016906413640825205,-0.000230444513455823,-0.0008401722879905879,-0.0004334271627331532,-0.0007567131629095533
10,0,0,600,0.03,2,0.2,4,1.2845664795168121,0.030536965596936947,-0.0011987330646602455,0.0,-0.0011345867030453298,-0.0018610802236665902
11,0,1,600,0.03,2,0.2,4,1.2845664795168121,0.030536965596936947,-0.0011987330646602455,0.0,-0.0011345867030453298,-0.0018610802236665902
12,0,2,600,0.03,2,0.2,4,1.2845664795168121,0.030536965596936947,-0.0011987330646602455,0.0,-0.0011345867030453298,-0.0018610802236665902
13,0,3,600,0.03,2,0.2,4,1.2845664795168121,0.030536965596936947,-0.0011987330646602455,0.0,-0.0011345867030453298,-0.0018610802236665902
14,0,4,600,0.03,2,0.2,4,1.2845664795168121,0.030536965596936947,-0.0011987330646602455,0.0,-0.0011345867030453298,-0.0018610802236665902
15,0,5,600,0.03,2,0.2,4,1.2845664795168121,0.030536965596936947,-0.0011987330646602455,0.0,-0.0011345867030453293,-0.0018610802236665902
16,0,6,600,0.03,2,0.2,4,1.2845664795168121,0.030536965596936947,-0.0011987330646602455,0.0,-0.0011345867030453293,-0.0018610802236665902
17,0,7,600,0.03,2,0.2,4,1.2845664795168121,0.030536965596936947,-0.0011987330646602455,0.0,-0.0011345867030453293,-0.0018610802236665902
18,0,8,600,0.03,2,0.2,4,1.2845664795168121,0.030536965596936947,-0.0011987330646602455,0.0,-0.0011345867030453298,-0.0018610802236665902
19,0,9,600,0.03,2,0.2,4,1.2845664795168121,0.030536965596936947,-0.0011987330646602455,0.0,-0.0011345867030453293,-0.0018610802236665902
20,0,0,1300,0.15,2,0.2,4,1.292831993976547,0.0010520769962649476,-0.000549001299638596,0.0039590106151262145,-0.0005285061740869865,-0.001088606641767855
21,0,1,1300,0.15,2,0.2,4,1.292831993976547,0.0010520769962649476,-0.000549001299638596,0.0039590106151262145,-0.0005285061740869859,-0.001088606641767855
22,0,2,1300,0.15,2,0.2,4,1.292831993976547,0.0010520769962649476,-0.000549001299638596,0.0039590106151262145,-0.0005285061740869859,-0.001088606641767855
23,0,3,1300,0.15,2,0.2,4,1.292831993976547,0.0010520769962649476,-0.000549001299638596,0.0039590106151262145,-0.0005285061740869859,-0.001088606641767855
24,0,4,1300,0.15,2,0.2,4,1.292831993976547,0.0010520769962649476,-0.000549001299638596,0.0039590106151262145,-0.0005285061740869865,-0.001088606641767855
25,0,5,1300,0.15,2,0.2,4,1.292831993976547,0.0010520769962649476,-0.000549001299638596,0.0039590106151262145,-0.0005285061740869859,-0.001088606641767855
26,0,6,1300,0.15,2,0.2,4,1.292831993976547,0.0010520769962649476,-0.000549001299638596,0.0039590106151262145,-0.0005285061740869865,-0.001088606641767855
27,0,7,1300,0.15,2,0.2,4,1.292831993976547,0.0010520769962649476,-0.000549001299638596,0.0039590106151262145,-0.0005285061740869859,-0.001088606641767855
28,0,8,1300,0.15,2,0.2,4,1.292831993976547,0.0010520769962649476,-0.000549001299638596,0.0039590106151262145,-0.0005285061740869859,-0.001088606641767855
29,0,9,1300,0.15,2,0.2,4,1.292831993976547,0.0010520769962649476,-0.000549001299638596,0.0039590106151262145,-0.0005285061740869859,-0.001088606641767855
30,0,0,1600,0.02,2,0.2,4,1.2860351221869057,0.19129392992283642,-0.0004413263608928098,0.0,-0.00043343497719753216,-0.0008854618407466786
31,0,1,1600,0.02,2,0.2,4,1.2860351221869057,0.19129392992283642,-0.0004413263608928098,0.0,-0.00043343497719753216,-0.0008854618407466786
32,0,2,1600,0.02,2,0.2,4,1.2860351221869057,0.19129392992283642,-0.0004413263608928098,0.0,-0.00043343497719753216,-0.0008854618407466786
33,0,3,1600,0.02,2,0.2,4,1.2860351221869057,0.19129392992283642,-0.0004413263608928098,0.0,-0.00043343497719753216,-0.0008854618407466786
